date,variant,omicron,lineage,omicron_time
2020-03-31,B.1,Other,B.1,Other
2020-06-11,B.1,Other,B.1.1,Other
2020-10-13,B.1.177 (European),Other,B.1.177,Other
2020-07-22,B.1.177 (European),Other,B.1.177,Other
2020-10-05,B.1.177 (European),Other,B.1.177,Other
2020-08-23,B.1.177 (European),Other,B.1.177,Other
2020-08-03,Other,Other,B.1.1.406,Other
2020-06-12,Other,Other,B.1.1.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-12-02,B.1.177 (European),Other,B.1.177,Other
2020-11-05,B.1.177 (European),Other,B.1.177,Other
2020-11-06,B.1.177 (European),Other,B.1.177,Other
2020-11-09,Other,Other,B.1.1.269,Other
2020-11-02,Other,Other,B.1.258,Other
2020-11-18,B.1.177 (European),Other,B.1.177,Other
2020-11-17,B.1.177 (European),Other,B.1.177,Other
2020-11-11,B.1.177 (European),Other,B.1.177,Other
2020-11-13,B.1.177 (European),Other,B.1.177,Other
2020-11-25,B.1.177 (European),Other,B.1.177,Other
2020-11-12,Other,Other,B.1.221,Other
2020-11-05,Other,Other,B.1.177.43,Other
2020-11-20,B.1.177 (European),Other,B.1.177,Other
2020-03-22,B.1,Other,B.1,Other
2020-11-20,B.1.177 (European),Other,B.1.177,Other
2020-11-24,B.1.177 (European),Other,B.1.177,Other
2020-11-30,Other,Other,B.1.1.269,Other
2020-12-09,B.1.177 (European),Other,B.1.177,Other
2020-12-08,Zeta/P2,Other,P.2,Other
2020-12-12,B.1.177 (European),Other,B.1.177,Other
2020-12-15,B.1.177 (European),Other,B.1.177,Other
2020-12-17,B.1.177 (European),Other,B.1.177,Other
2020-12-16,B.1.177 (European),Other,B.1.177,Other
2020-11-13,B.1.177 (European),Other,B.1.177,Other
2020-04-19,B.1,Other,B.1,Other
2020-05-04,B.1,Other,B.1,Other
2020-03-03,B.1,Other,B.1,Other
2020-05-21,B.1,Other,B.1.1,Other
2020-06-26,B.1.177 (European),Other,B.1.177,Other
2020-03-01,B.1,Other,B.1,Other
2020-06-23,Other,Other,B.1.1.1,Other
2020-05-08,B.1,Other,B.1,Other
2020-05-12,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-27,B.1,Other,B.1,Other
2020-04-24,B.1,Other,B.1,Other
2020-03-25,B.1,Other,B.1,Other
2020-03-18,B.1,Other,B.1,Other
2020-12-31,B.1.177 (European),Other,B.1.177,Other
2020-08-10,B.1.177 (European),Other,B.1.177,Other
2020-04-04,B.1,Other,B.1,Other
2020-12-18,B.1,Other,B.1.1,Other
2020-03-02,Other,Other,B,Other
2020-03-25,B.1,Other,B.1,Other
2020-07-07,B.1.177 (European),Other,B.1.177,Other
2020-05-04,B.1,Other,B.1,Other
2020-11-12,B.1.177 (European),Other,B.1.177,Other
2020-12-24,B.1.177 (European),Other,B.1.177,Other
2020-03-24,B.1,Other,B.1,Other
2020-08-11,B.1.177 (European),Other,B.1.177,Other
2020-08-08,B.1.177 (European),Other,B.1.177,Other
2020-10-07,B.1.177 (European),Other,B.1.177,Other
2020-08-31,B.1.177 (European),Other,B.1.177,Other
2020-11-12,B.1.177 (European),Other,B.1.177,Other
2020-09-27,B.1.177 (European),Other,B.1.177,Other
2020-10-05,B.1.177 (European),Other,B.1.177,Other
2020-08-05,B.1.177 (European),Other,B.1.177,Other
2020-08-07,B.1.177 (European),Other,B.1.177,Other
2020-11-19,B.1.177 (European),Other,B.1.177,Other
2020-03-24,B.1,Other,B.1,Other
2020-08-11,B.1.177 (European),Other,B.1.177,Other
2020-03-22,B.1,Other,B.1.1,Other
2020-12-09,B.1.177 (European),Other,B.1.177,Other
2020-12-21,B.1.177 (European),Other,B.1.177,Other
2020-08-11,Other,Other,B.1.600,Other
2020-08-22,B.1.177 (European),Other,B.1.177,Other
2020-04-06,B.1,Other,B.1,Other
2020-11-17,B.1.177 (European),Other,B.1.177,Other
2020-10-27,Other,Other,B.1.177.74,Other
2020-10-14,B.1.177 (European),Other,B.1.177,Other
2020-12-13,B.1.177 (European),Other,B.1.177,Other
2020-12-23,B.1.177 (European),Other,B.1.177,Other
2020-11-16,B.1.177 (European),Other,B.1.177,Other
2020-11-13,B.1.177 (European),Other,B.1.177,Other
2020-07-19,B.1.177 (European),Other,B.1.177,Other
2020-12-22,B.1.177 (European),Other,B.1.177,Other
2020-03-21,B.1,Other,B.1,Other
2020-03-23,B.1,Other,B.1,Other
2020-03-21,B.1,Other,B.1,Other
2020-04-06,B.1,Other,B.1,Other
2020-04-10,B.1,Other,B.1,Other
2020-04-06,B.1,Other,B.1,Other
2020-03-20,B.1,Other,B.1,Other
2020-03-28,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-23,B.1,Other,B.1,Other
2020-03-28,B.1,Other,B.1,Other
2020-08-06,B.1.177 (European),Other,B.1.177,Other
2020-03-20,B.1,Other,B.1,Other
2020-04-02,B.1,Other,B.1,Other
2020-03-29,B.1,Other,B.1,Other
2020-04-04,B.1,Other,B.1.1,Other
2020-03-31,B.1,Other,B.1,Other
2020-04-08,B.1,Other,B.1,Other
2020-04-09,B.1,Other,B.1,Other
2020-04-08,B.1,Other,B.1,Other
2020-04-08,B.1,Other,B.1,Other
2020-05-18,B.1,Other,B.1,Other
2020-04-03,B.1,Other,B.1,Other
2020-04-10,B.1,Other,B.1,Other
2020-03-27,B.1,Other,B.1,Other
2020-03-27,B.1,Other,B.1,Other
2020-05-21,B.1,Other,B.1,Other
2020-05-08,B.1,Other,B.1,Other
2020-05-15,B.1,Other,B.1,Other
2020-05-12,B.1,Other,B.1,Other
2020-05-08,B.1,Other,B.1.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-07,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1.1,Other
2020-03-16,B.1,Other,B.1.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-04-11,B.1,Other,B.1,Other
2020-04-21,B.1,Other,B.1.1,Other
2020-04-20,B.1,Other,B.1,Other
2020-04-21,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-04-07,B.1,Other,B.1,Other
2020-03-24,B.1,Other,B.1.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-18,B.1,Other,B.1,Other
2020-05-04,B.1,Other,B.1,Other
2020-03-17,B.1,Other,B.1,Other
2020-03-17,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-04-22,B.1,Other,B.1,Other
2020-04-22,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-04-22,B.1,Other,B.1,Other
2020-04-24,B.1,Other,B.1,Other
2020-04-10,B.1,Other,B.1,Other
2020-04-25,B.1,Other,B.1.1,Other
2020-03-18,B.1,Other,B.1,Other
2020-03-17,B.1,Other,B.1,Other
2020-03-18,B.1,Other,B.1,Other
2020-03-27,B.1,Other,B.1,Other
2020-03-26,Other,Other,B.1.566,Other
2020-03-18,Other,Other,A.5,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-12,B.1,Other,B.1,Other
2020-03-18,B.1,Other,B.1,Other
2020-03-18,B.1,Other,B.1,Other
2020-03-17,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-29,B.1,Other,B.1.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-03-18,B.1,Other,B.1.1,Other
2020-05-01,B.1,Other,B.1,Other
2020-07-12,B.1.177 (European),Other,B.1.177,Other
2020-07-06,B.1.177 (European),Other,B.1.177,Other
2020-06-30,Other,Other,B.1.1.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-12,B.1,Other,B.1,Other
2020-07-25,B.1.177 (European),Other,B.1.177,Other
2020-07-14,Other,Other,B.1.1.406,Other
2020-05-13,B.1,Other,B.1,Other
2020-05-13,B.1,Other,B.1,Other
2020-05-15,B.1,Other,B.1,Other
2020-06-29,B.1,Other,B.1,Other
2020-06-11,B.1,Other,B.1.1,Other
2020-06-09,B.1,Other,B.1.1,Other
2020-06-28,Other,Other,B.1.1.406,Other
2020-03-20,B.1,Other,B.1,Other
2020-05-26,B.1,Other,B.1.1,Other
2020-03-29,Other,Other,A.2,Other
2020-04-06,B.1,Other,B.1,Other
2020-10-06,B.1.177 (European),Other,B.1.177,Other
2020-10-10,B.1.177 (European),Other,B.1.177,Other
2020-09-19,B.1.177 (European),Other,B.1.177,Other
2020-10-06,B.1.177 (European),Other,B.1.177,Other
2020-09-30,Other,Other,B.1.1.39,Other
2020-09-22,Other,Other,B.1.1.39,Other
2020-10-07,B.1.177 (European),Other,B.1.177,Other
2020-09-15,Other,Other,B.1.1.39,Other
2020-10-02,B.1.177 (European),Other,B.1.177,Other
2020-10-07,B.1.177 (European),Other,B.1.177,Other
2020-10-06,B.1.177 (European),Other,B.1.177,Other
2020-10-07,B.1.177 (European),Other,B.1.177,Other
2020-10-08,B.1.177 (European),Other,B.1.177,Other
2020-10-07,B.1.177 (European),Other,B.1.177,Other
2020-10-06,B.1.177 (European),Other,B.1.177,Other
2020-09-14,B.1.177 (European),Other,B.1.177,Other
2020-10-07,B.1.177 (European),Other,B.1.177,Other
2020-10-05,B.1.177 (European),Other,B.1.177,Other
2020-09-24,B.1.177 (European),Other,B.1.177,Other
2020-10-05,B.1.177 (European),Other,B.1.177,Other
2020-08-08,Other,Other,B.1.600,Other
2020-08-12,B.1.177 (European),Other,B.1.177,Other
2020-08-12,B.1.177 (European),Other,B.1.177,Other
2020-08-11,Other,Other,AA.1,Other
2020-08-11,B.1.177 (European),Other,B.1.177,Other
2020-08-11,Other,Other,B.1.600,Other
2020-08-10,B.1.177 (European),Other,B.1.177,Other
2020-08-10,B.1.177 (European),Other,B.1.177,Other
2020-08-13,B.1.177 (European),Other,B.1.177,Other
2020-08-10,B.1.177 (European),Other,B.1.177,Other
2020-08-09,B.1.177 (European),Other,B.1.177,Other
2020-08-08,B.1.177 (European),Other,B.1.177,Other
2020-08-08,B.1.177 (European),Other,B.1.177,Other
2020-08-08,Other,Other,B.1.1.406,Other
2020-08-06,B.1.177 (European),Other,B.1.177,Other
2020-08-06,B.1.177 (European),Other,B.1.177,Other
2020-08-06,B.1.177 (European),Other,B.1.177,Other
2020-08-05,B.1.177 (European),Other,B.1.177,Other
2020-08-05,B.1.177 (European),Other,B.1.177,Other
2020-08-08,B.1.177 (European),Other,B.1.177,Other
2020-08-09,B.1.177 (European),Other,B.1.177,Other
2020-08-08,B.1.177 (European),Other,B.1.177,Other
2020-08-07,B.1.177 (European),Other,B.1.177,Other
2020-08-07,B.1.177 (European),Other,B.1.177,Other
2020-08-07,B.1.177 (European),Other,B.1.177,Other
2020-08-08,Other,Other,B.1.1.1,Other
2020-08-07,B.1.177 (European),Other,B.1.177,Other
2020-08-07,B.1.177 (European),Other,B.1.177,Other
2020-07-31,B.1.177 (European),Other,B.1.177,Other
2020-07-31,B.1.177 (European),Other,B.1.177,Other
2020-08-02,B.1.177 (European),Other,B.1.177,Other
2020-08-01,B.1.177 (European),Other,B.1.177,Other
2020-08-02,B.1.177 (European),Other,B.1.177,Other
2020-07-31,B.1.177 (European),Other,B.1.177,Other
2020-07-31,B.1.177 (European),Other,B.1.177,Other
2020-04-07,Beta,Other,B.1.356,Other
2020-07-29,B.1.177 (European),Other,B.1.177,Other
2020-07-29,Other,Other,B.1.1.406,Other
2020-07-21,B.1.177 (European),Other,B.1.177,Other
2020-07-17,B.1.177 (European),Other,B.1.177,Other
2020-07-19,B.1.177 (European),Other,B.1.177,Other
2020-07-18,Other,Other,B.1.600,Other
2020-07-18,B.1.177 (European),Other,B.1.177,Other
2020-07-20,B.1.177 (European),Other,B.1.177,Other
2020-07-20,B.1,Other,B.1.1,Other
2020-07-19,B.1.177 (European),Other,B.1.177,Other
2020-07-17,Other,Other,B.1.1.1,Other
2020-07-17,B.1.177 (European),Other,B.1.177,Other
2020-07-10,B.1.177 (European),Other,B.1.177,Other
2020-07-17,Other,Other,B.1.1.1,Other
2020-07-10,Other,Other,B.1.600,Other
2020-10-28,B.1.177 (European),Other,B.1.177,Other
2020-10-28,B.1.177 (European),Other,B.1.177,Other
2020-10-28,B.1.177 (European),Other,B.1.177,Other
2020-10-28,B.1.177 (European),Other,B.1.177,Other
2020-10-27,B.1.177 (European),Other,B.1.177,Other
2020-10-27,B.1.177 (European),Other,B.1.177,Other
2020-10-07,B.1.177 (European),Other,B.1.177,Other
2020-09-12,B.1.177 (European),Other,B.1.177,Other
2020-09-09,B.1.177 (European),Other,B.1.177,Other
2020-09-07,B.1.177 (European),Other,B.1.177,Other
2020-09-05,Other,Other,B.1.1.1,Other
2020-09-04,B.1.177 (European),Other,B.1.177,Other
2020-09-02,B.1,Other,B.1,Other
2020-09-01,B.1,Other,B.1,Other
2020-09-01,B.1.177 (European),Other,B.1.177,Other
2020-09-01,B.1.177 (European),Other,B.1.177,Other
2020-08-29,B.1.177 (European),Other,B.1.177,Other
2020-08-30,B.1.177 (European),Other,B.1.177,Other
2020-08-26,B.1.177 (European),Other,B.1.177,Other
2020-11-03,B.1.177 (European),Other,B.1.177,Other
2020-08-24,B.1.177 (European),Other,B.1.177,Other
2020-08-12,B.1.177 (European),Other,B.1.177,Other
2020-11-03,B.1.177 (European),Other,B.1.177,Other
2020-11-13,B.1.177 (European),Other,B.1.177,Other
2020-11-12,B.1.177 (European),Other,B.1.177,Other
2020-11-02,B.1.177 (European),Other,B.1.177,Other
2020-11-13,B.1.177 (European),Other,B.1.177,Other
2020-11-14,B.1.177 (European),Other,B.1.177,Other
2020-08-21,B.1.177 (European),Other,B.1.177,Other
2020-10-14,Other,Other,B.1.1.269,Other
2020-08-28,B.1.177 (European),Other,B.1.177,Other
2020-11-16,B.1.177 (European),Other,B.1.177,Other
2020-09-03,B.1.177 (European),Other,B.1.177,Other
2020-11-10,B.1.177 (European),Other,B.1.177,Other
2020-09-02,B.1.177 (European),Other,B.1.177,Other
2020-11-09,B.1.177 (European),Other,B.1.177,Other
2020-08-27,B.1.177 (European),Other,B.1.177,Other
2020-11-04,B.1.177 (European),Other,B.1.177,Other
2020-07-22,B.1.177 (European),Other,B.1.177,Other
2020-11-09,B.1.177 (European),Other,B.1.177,Other
2020-11-03,B.1.177 (European),Other,B.1.177,Other
2020-11-06,B.1.177 (European),Other,B.1.177,Other
2020-11-03,B.1.177 (European),Other,B.1.177,Other
2020-11-03,B.1.177 (European),Other,B.1.177,Other
2020-11-03,B.1.177 (European),Other,B.1.177,Other
2020-11-03,B.1.177 (European),Other,B.1.177,Other
2020-11-03,B.1.177 (European),Other,B.1.177,Other
2020-11-14,B.1.177 (European),Other,B.1.177,Other
2020-11-16,B.1.177 (European),Other,B.1.177,Other
2020-11-10,B.1.177 (European),Other,B.1.177,Other
2020-11-16,B.1.177 (European),Other,B.1.177,Other
2020-11-10,B.1.177 (European),Other,B.1.177,Other
2020-08-19,B.1.177 (European),Other,B.1.177,Other
2020-09-16,B.1.177 (European),Other,B.1.177,Other
2020-11-09,B.1.177 (European),Other,B.1.177,Other
2020-11-05,B.1.177 (European),Other,B.1.177,Other
2020-03-18,B.1,Other,B.1,Other
2020-03-26,B.1,Other,B.1,Other
2020-04-24,B.1,Other,B.1,Other
2020-03-18,B.1,Other,B.1,Other
2020-03-18,Other,Other,A.2,Other
2020-03-18,Other,Other,B.1.566,Other
2020-03-18,B.1,Other,B.1.1,Other
2020-03-18,B.1,Other,B.1,Other
2020-04-08,Other,Other,B.1.157,Other
2020-09-15,B.1.177 (European),Other,B.1.177,Other
2020-12-22,Alpha,Other,B.1.1.7,Other
2020-12-22,B.1.177 (European),Other,B.1.177,Other
2020-08-07,B.1.177 (European),Other,B.1.177,Other
2020-04-29,B.1,Other,B.1,Other
2020-05-29,B.1,Other,B.1.1,Other
2020-04-01,B.1,Other,B.1,Other
2020-06-19,B.1,Other,B.1,Other
2020-05-29,B.1,Other,B.1.1,Other
2020-05-27,B.1,Other,B.1,Other
2020-05-28,B.1,Other,B.1.1,Other
2020-06-10,Other,Other,B.1.1.1,Other
2020-06-04,B.1,Other,B.1,Other
2020-06-22,B.1,Other,B.1.1,Other
2020-06-22,B.1,Other,B.1.1,Other
2020-03-21,B.1,Other,B.1,Other
2020-03-19,B.1,Other,B.1,Other
2020-03-16,B.1,Other,B.1,Other
2020-03-18,B.1,Other,B.1,Other
2020-03-09,Other,Other,A.2,Other
2020-03-23,B.1,Other,B.1,Other
2020-04-01,B.1,Other,B.1,Other
2020-03-30,B.1,Other,B.1,Other
2020-03-30,B.1,Other,B.1,Other
2020-04-05,B.1,Other,B.1,Other
2020-04-07,B.1,Other,B.1.1,Other
2020-04-15,B.1,Other,B.1,Other
2020-04-16,B.1,Other,B.1,Other
2020-04-11,B.1,Other,B.1,Other
2020-04-08,B.1,Other,B.1.1,Other
2020-04-08,B.1,Other,B.1,Other
2020-04-20,B.1,Other,B.1,Other
2020-05-08,B.1,Other,B.1.1,Other
2020-04-28,B.1,Other,B.1.1,Other
2020-04-21,B.1,Other,B.1,Other
2020-04-20,B.1,Other,B.1,Other
2020-04-21,B.1,Other,B.1,Other
2020-05-10,B.1,Other,B.1,Other
2020-05-20,B.1,Other,B.1.1,Other
2020-05-18,B.1,Other,B.1.1,Other
2020-09-21,B.1,Other,B.1,Other
2020-06-26,B.1,Other,B.1.1,Other
2020-06-26,B.1.177 (European),Other,B.1.177,Other
2020-07-16,Other,Other,B.1.1.406,Other
2020-07-09,B.1.177 (European),Other,B.1.177,Other
2020-07-10,B.1,Other,B.1.1,Other
2020-07-14,Other,Other,B.1.600,Other
2020-07-14,Other,Other,B.1.1.406,Other
2020-07-15,Other,Other,B.1.1.406,Other
2020-07-20,Other,Other,B.1.600,Other
2020-07-20,Other,Other,B.1.600,Other
2020-07-20,Other,Other,B.1.1.406,Other
2020-07-24,B.1,Other,B.1,Other
2020-07-22,B.1.177 (European),Other,B.1.177,Other
2020-07-27,B.1.177 (European),Other,B.1.177,Other
2020-08-03,Other,Other,B.1.1.1,Other
2020-08-11,B.1.177 (European),Other,B.1.177,Other
2020-08-19,B.1.177 (European),Other,B.1.177,Other
2020-08-22,B.1.177 (European),Other,B.1.177,Other
2020-08-24,B.1.177 (European),Other,B.1.177,Other
2020-08-31,Other,Other,B.1.416,Other
2020-08-31,B.1.177 (European),Other,B.1.177,Other
2020-09-07,B.1.177 (European),Other,B.1.177,Other
2020-09-07,B.1.177 (European),Other,B.1.177,Other
2020-09-14,B.1.177 (European),Other,B.1.177,Other
